service,tick_ms,pps,ci,active_cells,power_ratio,ci_delta,storage,feed_fraction,power_state,auto_active
environment,0.014,0.0,0.0,0.0,0.0,0.0,0.0,1.0776825748438,1.03021713528936,0
automation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
power,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.03021713528936,0
economy,0.031,0.42404249445924,0.0,0.0,0.0,0.0,38.7955334449114,1.0,0.0,0
environment,0.014,0.0,0.0,0.0,0.0,0.0,0.0,1.07766808396508,1.03015551170717,0
sandbox,0.8,0.42404249445924,0.58042217881447,259.0,1.03027875542189,0.00017361111111,0.0,0.0,0.0,0
automation,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
power,0.003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.03015551170717,0
economy,0.052,0.42402070681533,0.0,0.0,0.0,0.0,38.837935515593,1.0,0.0,0
environment,0.024,0.0,0.0,0.0,0.0,0.0,0.0,1.07765359229106,1.03009388474292,0
automation,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
power,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.03009388474292,0
economy,0.037,0.42399534063649,0.0,0.0,0.0,0.0,38.8803350496566,1.0,0.0,0
environment,0.026,0.0,0.0,0.0,0.0,0.0,0.0,1.07763909983763,1.03003225446417,0
automation,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
power,0.003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.03003225446417,0
economy,0.038,0.42396997309337,0.0,0.0,0.0,0.0,38.922732046966,1.0,0.0,0
environment,0.017,0.0,0.0,0.0,0.0,0.0,0.0,1.07762460662069,1.02997062093851,0
automation,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
power,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.02997062093851,0
economy,0.037,0.4239446042138,0.0,0.0,0.0,0.0,38.9651265073873,1.0,0.0,0
environment,0.017,0.0,0.0,0.0,0.0,0.0,0.0,1.07761011265613,1.02990898423353,0
automation,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
power,0.003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.02990898423353,0
economy,0.038,0.4239192340256,0.0,0.0,0.0,0.0,39.0075184307899,1.0,0.0,0
environment,0.017,0.0,0.0,0.0,0.0,0.0,0.0,1.07759561795983,1.02984734441682,0
automation,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
power,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.02984734441682,0
economy,0.037,0.42389386255658,0.0,0.0,0.0,0.0,39.0499078170456,1.0,0.0,0
environment,0.016,0.0,0.0,0.0,0.0,0.0,0.0,1.07758112254771,1.02978570155598,0
sandbox,0.691,0.42389386255658,0.58024856770336,259.0,1.02990898423353,-0.00017361111111,0.0,0.0,0.0,0
automation,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
power,0.003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.02978570155598,0
economy,0.04,0.42386491418978,0.0,0.0,0.0,0.0,39.0922943084645,1.0,0.0,0
environment,0.017,0.0,0.0,0.0,0.0,0.0,0.0,1.07756662643565,1.02972405571861,0
automation,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
power,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.02972405571861,0
economy,0.033,0.42383954045665,0.0,0.0,0.0,0.0,39.1346782625102,1.0,0.0,0
environment,0.016,0.0,0.0,0.0,0.0,0.0,0.0,1.07755212963955,1.0296624069723,0
automation,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
power,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0296624069723,0
economy,0.034,0.42381416552619,0.0,0.0,0.0,0.0,39.1770596790628,1.0,0.0,0
environment,0.019,0.0,0.0,0.0,0.0,0.0,0.0,1.07753763217531,1.02960075538467,0
automation,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
power,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.02960075538467,0
economy,0.036,0.42378878942623,0.0,0.0,0.0,0.0,39.2194385580055,1.0,0.0,0
environment,0.016,0.0,0.0,0.0,0.0,0.0,0.0,1.07752313405882,1.02953910102333,0
automation,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
power,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.02953910102333,0
economy,0.034,0.4237634121846,0.0,0.0,0.0,0.0,39.2618148992239,1.0,0.0,0
environment,0.014,0.0,0.0,0.0,0.0,0.0,0.0,1.07750863530599,1.02947744395588,0
sandbox,0.627,0.4237634121846,0.58024856770336,259.0,1.02953910102333,0.0,0.0,0.0,0.0,0
automation,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
power,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.02947744395588,0
economy,0.034,0.42373803382912,0.0,0.0,0.0,0.0,39.3041887026068,1.0,0.0,0
environment,0.016,0.0,0.0,0.0,0.0,0.0,0.0,1.07749413593271,1.02941578424993,0
automation,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
power,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.02941578424993,0
economy,0.033,0.42371265438762,0.0,0.0,0.0,0.0,39.3465599680456,1.0,0.0,0
environment,0.015,0.0,0.0,0.0,0.0,0.0,0.0,1.07747963595489,1.02935412197312,0
automation,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
power,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.02935412197312,0
economy,0.03,0.42368727388794,0.0,0.0,0.0,0.0,39.3889286954344,1.0,0.0,0
environment,0.014,0.0,0.0,0.0,0.0,0.0,0.0,1.07746513538843,1.02929245719305,0
automation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
power,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.02929245719305,0
economy,0.032,0.4236618923579,0.0,0.0,0.0,0.0,39.4312948846702,1.0,0.0,0
environment,0.014,0.0,0.0,0.0,0.0,0.0,0.0,1.07745063424922,1.02923078997735,0
automation,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
power,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.02923078997735,0
economy,0.03,0.42363650982535,0.0,0.0,0.0,0.0,39.4736585356527,1.0,0.0,0
environment,0.014,0.0,0.0,0.0,0.0,0.0,0.0,1.07743613255317,1.02916912039365,0
sandbox,0.668,0.42363650982535,0.58042217881447,259.0,1.02929245719305,0.00017361111111,0.0,0.0,0.0,0
automation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
power,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.02916912039365,0
economy,0.036,0.42361469982201,0.0,0.0,0.0,0.0,39.5160200056349,1.0,0.0,0
environment,0.016,0.0,0.0,0.0,0.0,0.0,0.0,1.07742163031619,1.02910744850957,0
automation,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
power,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.02910744850957,0
economy,0.032,0.42358931515379,0.0,0.0,0.0,0.0,39.5583789371503,1.0,0.0,0
environment,0.019,0.0,0.0,0.0,0.0,0.0,0.0,1.07740712755417,1.02904577439274,0
automation,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
power,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.02904577439274,0
economy,0.033,0.42356392956655,0.0,0.0,0.0,0.0,39.6007353301069,1.0,0.0,0
environment,0.014,0.0,0.0,0.0,0.0,0.0,0.0,1.07739262428303,1.0289840981108,0
automation,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
power,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0289840981108,0
economy,0.031,0.42353854308814,0.0,0.0,0.0,0.0,39.6430891844158,1.0,0.0,0
environment,0.014,0.0,0.0,0.0,0.0,0.0,0.0,1.07737812051865,1.02892241973139,0
automation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
power,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.02892241973139,0
economy,0.031,0.42351315574639,0.0,0.0,0.0,0.0,39.6854404999904,1.0,0.0,0
environment,0.014,0.0,0.0,0.0,0.0,0.0,0.0,1.07736361627696,1.02886073932214,0
automation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
power,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.02886073932214,0
economy,0.03,0.42348776756914,0.0,0.0,0.0,0.0,39.7277892767473,1.0,0.0,0
environment,0.014,0.0,0.0,0.0,0.0,0.0,0.0,1.07734911157386,1.02879905695069,0
sandbox,0.634,0.42348776756914,0.58024856770336,259.0,1.02892241973139,-0.00017361111111,0.0,0.0,0.0,0
automation,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
power,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.02879905695069,0
economy,0.034,0.42345880636528,0.0,0.0,0.0,0.0,39.7701351573838,1.0,0.0,0
environment,0.015,0.0,0.0,0.0,0.0,0.0,0.0,1.07733460642525,1.02873737268468,0
automation,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
power,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.02873737268468,0
economy,0.031,0.42343341681473,0.0,0.0,0.0,0.0,39.8124784990653,1.0,0.0,0
environment,0.015,0.0,0.0,0.0,0.0,0.0,0.0,1.07732010084703,1.02867568659176,0
automation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
power,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.02867568659176,0
economy,0.031,0.42340802651223,0.0,0.0,0.0,0.0,39.8548193017165,1.0,0.0,0
environment,0.015,0.0,0.0,0.0,0.0,0.0,0.0,1.07730559485512,1.02861399873957,0
automation,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
power,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.02861399873957,0
economy,0.03,0.42338263548559,0.0,0.0,0.0,0.0,39.8971575652651,1.0,0.0,0
environment,0.014,0.0,0.0,0.0,0.0,0.0,0.0,1.07729108846543,1.02855230919577,0
automation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
power,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.02855230919577,0
economy,0.032,0.42335724376268,0.0,0.0,0.0,0.0,39.9394932896414,1.0,0.0,0
environment,0.014,0.0,0.0,0.0,0.0,0.0,0.0,1.07727658169386,1.028490618028,0
sandbox,0.776,0.42335724376268,0.58007495659225,259.0,1.02855230919577,-0.00017361111111,0.0,0.0,0.0,0
automation,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
power,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.028490618028,0
economy,0.034,0.42332828022336,0.0,0.0,0.0,0.0,39.9818261176637,1.0,0.0,0
environment,0.017,0.0,0.0,0.0,0.0,0.0,0.0,1.07726207455631,1.02842892530391,0
automation,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
power,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.02842892530391,0
economy,0.034,0.42330288740564,0.0,0.0,0.0,0.0,40.0241564064043,1.0,0.0,0
environment,0.016,0.0,0.0,0.0,0.0,0.0,0.0,1.07724756706871,1.02836723109117,0
automation,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
power,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.02836723109117,0
economy,0.107,0.42327749397519,0.0,0.0,0.0,0.0,40.0664841558018,1.0,0.0,0
environment,0.017,0.0,0.0,0.0,0.0,0.0,0.0,1.07723305924696,1.02830553545741,0
automation,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
power,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.02830553545741,0
economy,0.034,0.42325209995985,0.0,0.0,0.0,0.0,40.1088093657978,1.0,0.0,0
environment,0.014,0.0,0.0,0.0,0.0,0.0,0.0,1.07721855110696,1.02824383847031,0
automation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
power,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.02824383847031,0
economy,0.036,0.42322670538746,0.0,0.0,0.0,0.0,40.1511320363365,1.0,0.0,0
environment,0.015,0.0,0.0,0.0,0.0,0.0,0.0,1.07720404266463,1.02818214019752,0
sandbox,0.599,0.42322670538746,0.58007495659225,259.0,1.02830553545741,0.0,0.0,0.0,0.0,0
automation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
power,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.02818214019752,0
economy,0.035,0.42320131028589,0.0,0.0,0.0,0.0,40.1934521673651,1.0,0.0,0
environment,0.016,0.0,0.0,0.0,0.0,0.0,0.0,1.07718953393588,1.02812044070669,0
automation,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
power,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.02812044070669,0
economy,0.032,0.42317591468297,0.0,0.0,0.0,0.0,40.2357697588334,1.0,0.0,0
environment,0.019,0.0,0.0,0.0,0.0,0.0,0.0,1.07717502493661,1.02805874006549,0
automation,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
power,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.02805874006549,0
economy,0.032,0.42315051860655,0.0,0.0,0.0,0.0,40.2780848106941,1.0,0.0,0
environment,0.015,0.0,0.0,0.0,0.0,0.0,0.0,1.07716051568275,1.02799703834159,0
automation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
power,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.02799703834159,0
economy,0.031,0.4231251220845,0.0,0.0,0.0,0.0,40.3203973229025,1.0,0.0,0
environment,0.015,0.0,0.0,0.0,0.0,0.0,0.0,1.0771460061902,1.02793533560264,0
automation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
power,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.02793533560264,0
economy,0.031,0.42309972514464,0.0,0.0,0.0,0.0,40.362707295417,1.0,0.0,0
environment,0.015,0.0,0.0,0.0,0.0,0.0,0.0,1.07713149647487,1.02787363191631,0
automation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
power,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.02787363191631,0
economy,0.044,0.42307432781485,0.0,0.0,0.0,0.0,40.4050147281985,1.0,0.0,0
environment,0.016,0.0,0.0,0.0,0.0,0.0,0.0,1.07711698655267,1.02781192735027,0
sandbox,0.85,0.42307432781485,0.57972773437002,259.0,1.02793533560264,-0.00034722222222,0.0,0.0,0.0,0
automation,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
power,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.02781192735027,0
economy,0.036,0.42304179254013,0.0,0.0,0.0,0.0,40.4473189074525,1.0,0.0,0
environment,0.017,0.0,0.0,0.0,0.0,0.0,0.0,1.07710247643952,1.02775022197218,0
automation,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
power,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.02775022197218,0
economy,0.031,0.42301639494252,0.0,0.0,0.0,0.0,40.4896205469467,1.0,0.0,0
environment,0.015,0.0,0.0,0.0,0.0,0.0,0.0,1.07708796615133,1.02768851584971,0
automation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
power,0.003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.02768851584971,0
economy,0.04,0.42299099703852,0.0,0.0,0.0,0.0,40.5319196466506,1.0,0.0,0
environment,0.016,0.0,0.0,0.0,0.0,0.0,0.0,1.077073455704,1.02762680905052,0
automation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
power,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.02762680905052,0
economy,0.03,0.42296559885599,0.0,0.0,0.0,0.0,40.5742162065362,1.0,0.0,0
environment,0.015,0.0,0.0,0.0,0.0,0.0,0.0,1.07705894511346,1.0275651016423,0
automation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
power,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0275651016423,0
economy,0.032,0.42294020042278,0.0,0.0,0.0,0.0,40.6165102265784,1.0,0.0,0
environment,0.015,0.0,0.0,0.0,0.0,0.0,0.0,1.07704443439562,1.0275033936927,0
sandbox,0.635,0.42294020042278,0.57972773437002,259.0,1.0275651016423,0.0,0.0,0.0,0.0,0
automation,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
power,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0275033936927,0
economy,0.033,0.42291480176674,0.0,0.0,0.0,0.0,40.6588017067551,1.0,0.0,0
environment,0.015,0.0,0.0,0.0,0.0,0.0,0.0,1.07702992356638,1.0274416852694,0
automation,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
power,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0274416852694,0
economy,0.031,0.42288940291573,0.0,0.0,0.0,0.0,40.7010906470467,1.0,0.0,0
environment,0.014,0.0,0.0,0.0,0.0,0.0,0.0,1.07701541264166,1.02737997644007,0
automation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
power,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.02737997644007,0
economy,0.03,0.4228640038976,0.0,0.0,0.0,0.0,40.7433770474365,1.0,0.0,0
environment,0.014,0.0,0.0,0.0,0.0,0.0,0.0,1.07700090163738,1.02731826727237,0
automation,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
power,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.02731826727237,0
economy,0.032,0.4228386047402,0.0,0.0,0.0,0.0,40.7856609079105,1.0,0.0,0
environment,0.014,0.0,0.0,0.0,0.0,0.0,0.0,1.07698639056945,1.02725655783399,0
automation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
power,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.02725655783399,0
economy,0.049,0.42281320547139,0.0,0.0,0.0,0.0,40.8279422284576,1.0,0.0,0
environment,0.015,0.0,0.0,0.0,0.0,0.0,0.0,1.07697187945377,1.02719484819259,0
sandbox,0.624,0.42281320547139,0.58007495659225,259.0,1.02731826727237,0.00034722222222,0.0,0.0,0.0,0
automation,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
power,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.02719484819259,0
economy,0.035,0.42279493941658,0.0,0.0,0.0,0.0,40.8702217223993,1.0,0.0,0
environment,0.016,0.0,0.0,0.0,0.0,0.0,0.0,1.07695736830627,1.02713313841585,0
automation,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
power,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.02713313841585,0
economy,0.032,0.42276953957996,0.0,0.0,0.0,0.0,40.9124986763573,1.0,0.0,0
environment,0.019,0.0,0.0,0.0,0.0,0.0,0.0,1.07694285714286,1.02707142857143,0
automation,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
power,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.02707142857143,0
economy,0.068,0.42274413971549,0.0,0.0,0.0,0.0,40.9547730903288,1.0,0.0,0
environment,0.016,0.0,0.0,0.0,0.0,0.0,0.0,1.07694285714286,1.02707142857143,0
automation,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
power,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.02707142857143,0
economy,0.032,0.42274413971549,0.0,0.0,0.0,0.0,40.9547730903289,1.0,0.0,0
