service,tick_ms,pps,ci,active_cells,power_ratio,ci_delta,storage,feed_fraction,power_state,auto_active
environment,0.035,0,0,0,0,0,0,1.05328584799478,1.0712335686282,0
sandbox,0.9,0.44089146491937,0.57998662281456,259,1.07119268650969,0.00052083333333,0,0,0,0
automation,0.002,0,0,0,0,0,0,0,1,0
power,0.001,0,0,0,0,0,0,0,1.0712335686282,0
economy,0.052,0.44091945024556,0,0,0,0,15.1631268939584,1,0,0
environment,0.024,0,0,0,0,0,0,1.05326016979112,1.07127440231751,0
automation,0.002,0,0,0,0,0,0,0,1,0
power,0,0,0,0,0,0,0,0,1.07127440231751,0
economy,0.039,0.44093625738116,0,0,0,0,15.2072205196966,1,0,0
environment,0.02,0,0,0,0,0,0,1.05323452207026,1.07131518753284,0
automation,0.001,0,0,0,0,0,0,0,1,0
power,0.004,0,0,0,0,0,0,0,1.07131518753284,0
economy,0.041,0.44095304456488,0,0,0,0,15.251315824153,1,0,0
environment,0.02,0,0,0,0,0,0,1.05320890486031,1.07135592422946,0
automation,0.001,0,0,0,0,0,0,0,1,0
power,0,0,0,0,0,0,0,0,1.07135592422946,0
economy,0.036,0.44096981177831,0,0,0,0,15.2954128053309,1,0,0
environment,0.019,0,0,0,0,0,0,1.05318331818937,1.07139661236271,0
automation,0.001,0,0,0,0,0,0,0,1,0
power,0,0,0,0,0,0,0,0,1.07139661236271,0
economy,0.036,0.44098655900307,0,0,0,0,15.3395114612312,1,0,0
environment,0.018,0,0,0,0,0,0,1.05315776208549,1.07143725188795,0
sandbox,0.884,0.44098655900307,0.57998662281456,259,1.07131518753284,-0,0,0,0,0
automation,0.002,0,0,0,0,0,0,0,1,0
power,0.004,0,0,0,0,0,0,0,1.07143725188795,0
economy,0.046,0.44100328622078,0,0,0,0,15.3836117898533,1,0,0
environment,0.022,0,0,0,0,0,0,1.05313223657671,1.07147784276063,0
automation,0.001,0,0,0,0,0,0,0,1,0
power,0.001,0,0,0,0,0,0,0,1.07147784276063,0
economy,0.038,0.44101999341312,0,0,0,0,15.4277137891946,1,0,0
environment,0.019,0,0,0,0,0,0,1.05310674169101,1.07151838493623,0
automation,0.001,0,0,0,0,0,0,0,1,0
power,0.001,0,0,0,0,0,0,0,1.07151838493623,0
economy,0.036,0.44103668056175,0,0,0,0,15.4718174572507,1,0,0
environment,0.018,0,0,0,0,0,0,1.05308127745635,1.0715588783703,0
automation,0,0,0,0,0,0,0,0,1,0
power,0.002,0,0,0,0,0,0,0,1.0715588783703,0
economy,0.038,0.44105334764838,0,0,0,0,15.5159227920156,1,0,0
environment,0.025,0,0,0,0,0,0,1.05305584390066,1.07159932301842,0
automation,0.001,0,0,0,0,0,0,0,1,0
power,0,0,0,0,0,0,0,0,1.07159932301842,0
economy,0.036,0.44106999465473,0,0,0,0,15.5600297914811,1,0,0
environment,0.018,0,0,0,0,0,0,1.05303044105182,1.07163971883625,0
automation,0.001,0,0,0,0,0,0,0,1,0
power,0,0,0,0,0,0,0,0,1.07163971883625,0
economy,0.037,0.44108662156253,0,0,0,0,15.6041384536373,1,0,0
environment,0.019,0,0,0,0,0,0,1.0530050689377,1.07168006577948,0
automation,0.001,0,0,0,0,0,0,0,1,0
power,0.003,0,0,0,0,0,0,0,1.07168006577948,0
economy,0.038,0.44110322835357,0,0,0,0,15.6482487764727,1,0,0
environment,0.018,0,0,0,0,0,0,1.05297972758612,1.07172036380387,0
automation,0.001,0,0,0,0,0,0,0,1,0
power,0,0,0,0,0,0,0,0,1.07172036380387,0
economy,0.037,0.44111981500963,0,0,0,0,15.6923607579736,1,0,0
environment,0.019,0,0,0,0,0,0,1.05295441702487,1.07176061286523,0
sandbox,0.943,0.44111981500963,0.57981301170345,259,1.07168006577948,-0.00017361111111,0,0,0,0
automation,0.001,0,0,0,0,0,0,0,1,0
power,0.001,0,0,0,0,0,0,0,1.07176061286523,0
economy,0.041,0.4411326601215,0,0,0,0,15.7364740239858,1,0,0
environment,0.021,0,0,0,0,0,0,1.0529291372817,1.07180081291942,0
automation,0.001,0,0,0,0,0,0,0,1,0
power,0.002,0,0,0,0,0,0,0,1.07180081291942,0
economy,0.038,0.44114920631347,0,0,0,0,15.7805889446171,1,0,0
environment,0.032,0,0,0,0,0,0,1.05290388838434,1.07184096392235,0
automation,0.001,0,0,0,0,0,0,0,1,0
power,0,0,0,0,0,0,0,0,1.07184096392235,0
economy,0.038,0.44116573231612,0,0,0,0,15.8247055178487,1,0,0
environment,0.02,0,0,0,0,0,0,1.05287867036048,1.07188106583,0
automation,0.001,0,0,0,0,0,0,0,1,0
power,0.001,0,0,0,0,0,0,0,1.07188106583,0
economy,0.037,0.44118223811134,0,0,0,0,15.8688237416599,1,0,0
environment,0.019,0,0,0,0,0,0,1.05285348323776,1.07192111859839,0
automation,0.001,0,0,0,0,0,0,0,1,0
power,0.003,0,0,0,0,0,0,0,1.07192111859839,0
economy,0.039,0.44119872368102,0,0,0,0,15.912943614028,1,0,0
environment,0.027,0,0,0,0,0,0,1.05282832704382,1.07196112218359,0
sandbox,0.95,0.44119872368102,0.57877134503679,259,1.07192111859839,-0.00104166666667,0,0,0,0
